,experiment_code,metabolite_code,0.0001,0.001,0.01,0.1,1,10,100,1000,10000
128,C0.05,g6p_c,12.0256,12.0256,12.0256,12.0256,12.0256,12.0256,12.0256,12.0256,12.0256
129,C0.05,f6p_c,2.11476,2.12304,2.2034599999999998,2.82272,4.1549,4.22639,4.22751,4.227519999999999,4.227530000000001
130,C0.05,fdp_c,0.491993,0.491993,0.49199799999999994,0.492357,0.5017010000000001,0.5372140000000001,0.547592,0.5506340000000001,0.550629
131,C0.05,g3p_c,0.0731498,0.07314989999999999,0.0731523,0.07320650000000001,0.0740335,0.07659980000000001,0.0775194,0.0777985,0.077798
132,C0.05,13dpg_c,0.029267500000000002,0.029267500000000002,0.029267500000000002,0.0292686,0.0292976,0.029954599999999998,0.032448000000000005,0.0330267,0.033026400000000004
133,C0.05,dhap_c,0.6819569999999999,0.6819569999999999,0.681958,0.682183,0.68952,0.713936,0.722334,0.724869,0.7248640000000001
134,C0.05,pep_c,1.36345,1.36345,1.36345,1.36345,1.36362,1.38745,1.4969,1.52295,1.52294
135,C0.05,pyr_c,42.4367,42.4367,42.4367,42.4367,42.4367,42.4522,43.2749,43.9703,43.9703
136,C0.05,pi_c,45.6065,45.6065,45.6065,45.6065,45.6065,45.6065,45.6065,45.6065,45.6065
137,C0.05,6pgl_c,3.5279599999999998,3.5280099999999996,3.5285699999999998,3.53416,3.58912,4.06444,6.01727,6.886139999999999,6.90079
138,C0.05,6pgc_c,2.43454,2.43454,2.43454,2.43456,2.43475,2.43886,2.53585,3.14494,3.2663900000000003
139,C0.05,ru5p-D_c,0.23452800000000001,0.23452800000000001,0.23452800000000001,0.23453000000000002,0.234551,0.234895,0.243823,0.30186,0.31343899999999997
140,C0.05,r5p_c,0.494767,0.494767,0.494767,0.494771,0.494804,0.49537600000000004,0.513522,0.635545,0.659926
141,C0.05,e4p_c,0.209485,0.209485,0.209481,0.209173,0.198383,0.13203399999999998,0.11397,0.115356,0.12748299999999999
142,C0.05,xu5p-D_c,0.9166290000000001,0.9166290000000001,0.91663,0.916638,0.916748,0.918061,0.9525680000000001,1.17995,1.22535
143,C0.05,s7p_c,4.78647,4.78647,4.78647,4.78677,4.797540000000001,4.86394,4.8843,4.92762,5.44768
144,C0.11,atp_c,8.4052,8.4052,8.4052,8.4052,8.4052,8.4052,8.4052,8.4052,8.4052
145,C0.11,adp_c,0.6192409999999999,0.6192409999999999,0.6192409999999999,0.6192409999999999,0.6192409999999999,0.6192409999999999,0.6192409999999999,0.6192409999999999,0.6192409999999999
146,C0.11,nad_c,8.85971,8.85971,8.85971,8.85971,8.85971,8.85971,8.85971,8.85971,8.85971
147,C0.11,nadh_c,0.0472922,0.0472922,0.0472922,0.0472922,0.0472922,0.0472922,0.0472922,0.0472922,0.0472922
148,C0.11,nadp_c,0.00997781,0.00997781,0.00997781,0.00997781,0.00997781,0.00997781,0.00997781,0.00997781,0.00997781
149,C0.11,nadph_c,0.0346343,0.0346343,0.0346343,0.0346343,0.0346343,0.0346343,0.0346343,0.0346343,0.0346343
150,C0.11,3pg_c,8.84635,8.84635,8.84635,8.84635,8.84838,9.05866,10.3844,10.7306,10.7294
151,C0.11,2pg_c,0.542684,0.542684,0.542684,0.542684,0.542788,0.555521,0.637207,0.658542,0.65847
152,C0.11,g6p_c,17.6238,17.6238,17.6238,17.6238,17.6238,17.6238,17.6238,17.6238,17.6238
