,experiment_code,enzyme_code,dG_0,0.0001,0.001,0.01,0.1,1,10,100,1000,10000
9600,C0.30,r5p_c_EX,-108.715,-115.34094264646384,-115.34094264646384,-115.34094264646384,-115.34094264646384,-115.34094264646384,-115.34632787365251,-115.44321917937181,-115.45200618801498,-115.4519734584975
9700,C0.30,r5p_c_EX,-108.715,-115.75214150156741,-115.75214150156741,-115.75214150156741,-115.75214150156741,-115.75214150156741,-115.75712396685954,-115.8589097940674,-115.86854269346027,-115.8685150265246
9800,C0.30,r5p_c_EX,-108.715,-115.56617956613024,-115.56617956613024,-115.56617956613024,-115.56617956613024,-115.56619519407788,-115.57496254999917,-115.69172084884994,-115.69943406840089,-115.69941925829593
9900,C0.30,r5p_c_EX,-108.715,-114.77830192271367,-114.77830192271367,-114.77830192271367,-114.77830192271367,-114.77830192271367,-114.77937546003199,-114.82615664894635,-114.84226090939973,-114.84221905230343
10000,C0.30,r5p_c_EX,-108.715,-115.75670431978278,-115.75670431978278,-115.75670431978278,-115.75670431978278,-115.75670431978278,-115.76224083687676,-115.88068628321177,-115.89113997370947,-115.89113997370947
10100,C0.30,r5p_c_EX,-108.715,-117.35765334656621,-117.35765334656621,-117.35765334656621,-117.35765334656621,-117.35770645049016,-117.40355558390158,-117.6193881242723,-117.62030266153579,-117.62017983286263
10200,C0.30,r5p_c_EX,-108.715,-117.74115074422437,-117.74115074422437,-117.74115074422437,-117.74115074422437,-117.74115724317264,-117.75481928961837,-117.96287936384459,-117.9723934475407,-117.97236384683782
10300,C0.30,r5p_c_EX,-108.715,-118.2449944786562,-118.2449944786562,-118.2449944786562,-118.2449944786562,-118.24501038934551,-118.26200818136333,-118.51387626188006,-118.52158238729783,-118.52137840303767
10400,C0.30,r5p_c_EX,-108.715,-115.04466318681878,-115.04466318681878,-115.04466318681878,-115.04466318681878,-115.04466318681878,-115.06490922009083,-115.21784328464813,-115.22012644432971,-115.22010847490606
10500,C0.30,r5p_c_EX,-108.715,-116.68481228293598,-116.68481228293598,-116.68481228293598,-116.68481228293598,-116.68482223505512,-116.69639930578529,-116.83093564712357,-116.8391504109233,-116.83911300509018
10600,C0.30,r5p_c_EX,-108.715,-117.28439729221012,-117.28439729221012,-117.28439729221012,-117.28439729221012,-117.28439729221012,-117.2941999561755,-117.47454344219936,-117.48259950389092,-117.48257786347828
10700,C0.30,r5p_c_EX,-108.715,-115.62680330108813,-115.62680330108813,-115.62680330108813,-115.62680330108813,-115.62684905193669,-115.64717021833098,-115.78819669334261,-115.79565865963255,-115.79561592075815
10800,C0.30,r5p_c_EX,-108.715,-116.41769074009211,-116.41769074009211,-116.41769074009211,-116.41769074009211,-116.41769074009211,-116.42547093192967,-116.52245525323298,-116.52896032722109,-116.52891793504172
10900,C0.30,r5p_c_EX,-108.715,-115.93556420059282,-115.93556420059282,-115.93556420059282,-115.93556420059282,-115.93557766493525,-115.95696073843638,-116.07734456539862,-116.07841246846415,-116.07834891568125
11000,C0.30,r5p_c_EX,-108.715,-116.75467762306697,-116.75467762306697,-116.75467762306697,-116.75467762306697,-116.75470664956158,-116.78144034706655,-116.88975438600305,-116.89078036455116,-116.89075288851713
11100,C0.30,r5p_c_EX,-108.715,-116.52974445179919,-116.52974445179919,-116.52974445179919,-116.52974445179919,-116.52976564091321,-116.55645731531317,-116.6605701425969,-116.6616050709253,-116.66159502515434
11200,C0.30,r5p_c_EX,-108.715,-116.29072420493226,-116.29072420493226,-116.29072420493226,-116.29072420493226,-116.29075920587265,-116.32592922341655,-116.42986484751425,-116.43040526889126,-116.43036115727664
11300,C0.30,r5p_c_EX,-108.715,-116.73814514384595,-116.73814514384595,-116.73814514384595,-116.73814514384595,-116.73815488412843,-116.75386474318992,-116.8901483387037,-116.89462400649175,-116.89458742847411
11400,C0.30,r5p_c_EX,-108.715,-117.62016618485657,-117.62016618485657,-117.62016618485657,-117.62016618485657,-117.62017300886899,-117.63159731944225,-117.75642810902235,-117.76084859783893,-117.76081636004083
11500,C0.30,r5p_c_EX,-108.715,-116.73666417568603,-116.73666417568603,-116.73666417568603,-116.73666417568603,-116.73666417568603,-116.73905082642264,-116.81849150918887,-116.83075737455333,-116.83070107528845
11600,C0.30,r5p_c_EX,-108.715,-117.14491170981907,-117.14491170981907,-117.14491170981907,-117.14491170981907,-117.14491997600742,-117.15785579208612,-117.3200985271013,-117.32746624247753,-117.32746624247753
11700,C0.30,r5p_c_EX,-108.715,-116.33536631966024,-116.33536631966024,-116.33536631966024,-116.33536631966024,-116.33536631966024,-116.33947662855039,-116.45940353423727,-116.47546094688207,-116.47539597099924
11800,C0.30,r5p_c_EX,-108.715,-117.54392079701061,-117.54392079701061,-117.54392079701061,-117.54392079701061,-117.54392783418231,-117.55415983203137,-117.70069789003696,-117.7044010246493,-117.70438123649592
11900,C0.30,r5p_c_EX,-108.715,-118.19929380916427,-118.19929380916427,-118.19929380916427,-118.19929380916427,-118.19929921142472,-118.20874055616771,-118.35778942434841,-118.36298339509351,-118.36295305260971
12000,C0.30,r5p_c_EX,-108.715,-117.80070099988441,-117.80070099988441,-117.80070099988441,-117.80070099988441,-117.80070099988441,-117.80792341293025,-117.98402281247496,-117.99816538884002,-117.99812437638576
12100,C0.30,r5p_c_EX,-108.715,-115.340976875314,-115.340976875314,-115.340976875314,-115.340976875314,-115.340976875314,-115.34777902799733,-115.46657691303194,-115.47641621575617,-115.4763513977423
12200,C0.30,r5p_c_EX,-108.715,-116.11562736986166,-116.11562736986166,-116.11562736986166,-116.11562736986166,-116.11562736986166,-116.12276656785056,-116.26468705855811,-116.27792746415723,-116.2779040091489
12300,C0.30,r5p_c_EX,-108.715,-117.51197817894047,-117.51197817894047,-117.51197817894047,-117.51197817894047,-117.51197817894047,-117.51499168128908,-117.64827134937738,-117.66890553372869,-117.66883192991799
12400,C0.30,r5p_c_EX,-108.715,-116.57174384936829,-116.57174384936829,-116.57174384936829,-116.57174384936829,-116.57174384936829,-116.57731047892531,-116.70739993452472,-116.72198210408584,-116.72186445304936
12500,C0.30,r5p_c_EX,-108.715,-115.37821039453304,-115.37821039453304,-115.37821039453304,-115.37821039453304,-115.37821039453304,-115.38385178868393,-115.50267344778368,-115.51423868385754,-115.51411100921725
12600,C0.30,r5p_c_EX,-108.715,-117.3337399703007,-117.3337399703007,-117.3337399703007,-117.3337399703007,-117.3337399703007,-117.34092219800496,-117.4891334743363,-117.5016847382845,-117.50164894745593
12700,C0.30,r5p_c_EX,-108.715,-116.36429086523027,-116.36429086523027,-116.36429086523027,-116.36429086523027,-116.36429086523027,-116.3683083002394,-116.5133641673936,-116.53967287361638,-116.5395567961203
12800,C0.30,r5p_c_EX,-108.715,-116.92900530373461,-116.92900530373461,-116.92900530373461,-116.92900530373461,-116.92900530373461,-116.93505832508278,-117.09398483184609,-117.1047029284982,-117.10464411813267
12900,C0.30,r5p_c_EX,-108.715,-119.03487444346584,-119.03487444346584,-119.03487444346584,-119.03487444346584,-119.03487829984843,-119.04076385518259,-119.18821720553633,-119.20253822048038,-119.20252740794365
13000,C0.30,r5p_c_EX,-108.715,-114.78589257907295,-114.78589257907295,-114.78589257907295,-114.78589257907295,-114.78589257907295,-114.78925163048699,-114.894406209128,-114.90893387374734,-114.90889312748736
13100,C0.30,r5p_c_EX,-108.715,-114.7104426857628,-114.7104426857628,-114.7104426857628,-114.7104426857628,-114.7104426857628,-114.7152936484652,-114.82786230919807,-114.8374217351253,-114.83733785663448
13200,C0.30,r5p_c_EX,-108.715,-119.00428270338048,-119.00428270338048,-119.00428270338048,-119.00428270338048,-119.00428270338048,-119.00704538864834,-119.12115365821694,-119.14787002391338,-119.14781843980415
