,experiment_code,reaction_code,0.0001,0.001,0.01,0.1,1,10,100,1000,10000
165,C0.22,PGK,4.74604,4.74604,4.74606,4.747380000000001,4.81867,5.10321,5.12951,5.12951,5.1294900000000005
166,C0.22,GPM,4.746090000000001,4.746090000000001,4.74607,4.74613,4.755319999999999,4.95955,5.1295,5.12951,5.1294900000000005
167,C0.22,ENO,4.74606,4.74606,4.74606,4.74607,4.75174,4.95125,5.1295,5.12951,5.1294900000000005
168,C0.22,PYK,4.74606,4.74606,4.74606,4.74607,4.74909,4.94393,5.1295,5.12951,5.1294900000000005
169,C0.22,G6PDH2r,0.0677092,0.0677085,0.0677018,0.0676341,0.0669671,0.061133400000000004,0.036669,0.0215478,0.021186
170,C0.22,PGL,0.0173188,0.0173188,0.0173197,0.017327900000000004,0.0174092,0.0181297,0.0211614,0.0213748,0.0211858
171,C0.22,GND,0.0171225,0.0171225,0.0171225,0.017122599999999998,0.0171233,0.017165599999999996,0.0184892,0.021007599999999998,0.021184900000000003
172,C0.22,RPE,0.000281389,0.00028135599999999997,0.000281044,0.000278761,0.000272128,0.000281012,0.000820438,0.000321835,0.00017790000000000001
173,C0.22,RKI,0.0168387,0.0168386,0.016837599999999998,0.016831099999999998,0.016827500000000002,0.0168478,0.017491999999999997,0.020653599999999998,0.021006900000000002
174,C0.22,TKL1,0.00013709600000000002,0.00013709600000000002,0.000137095,0.00013701700000000002,0.00013288700000000002,0.00011541200000000001,0.000115155,0.000169703,0.000145832
175,C0.22,TKL2,6.75204e-05,6.73805e-05,6.60385e-05,5.66021e-05,3.81975e-05,2.8310500000000003e-05,2.1039899999999998e-05,2.5781100000000003e-05,3.1664699999999995e-05
176,C0.22,TAL,6.94945e-05,2.93603e-05,-0.000362422,-0.00350087,-0.011099600000000001,-0.006501000000000001,-1.74186e-05,3.42673e-05,3.84288e-05
177,C0.22,pyr_c_EX,4.74606,4.74606,4.74606,4.74606,4.746180000000001,4.83788,5.1294699999999995,5.12951,5.1294900000000005
178,C0.22,dhap_c_EX,0.212468,0.212468,0.212468,0.212549,0.21838000000000002,0.245529,0.25038299999999997,0.250384,0.250382
179,C0.22,r5p_c_EX,0.016643400000000003,0.016643400000000003,0.0166435,0.0166435,0.0166442,0.016653400000000002,0.016993,0.020413900000000002,0.0208609
180,C0.30,PGI,3.85269,3.8505300000000005,3.8290599999999997,3.63188,2.60222,1.8846900000000002,1.7033,1.6909999999999998,1.69104
181,C0.30,PFK,1.54487,1.54539,1.55055,1.59702,1.8123900000000002,1.86602,1.70287,1.69104,1.69107
182,C0.30,FBA,1.5448,1.5448,1.5448,1.54502,1.55408,1.6006200000000002,1.6853200000000002,1.69104,1.69107
183,C0.30,TPI,0.9941479999999999,0.994139,0.994041,0.9928600000000001,0.982132,0.99044,1.01191,1.01253,1.0125899999999999
184,C0.30,GAPD,2.5392099999999997,2.5392099999999997,2.5392099999999997,2.53925,2.54195,2.59626,2.69729,2.70387,2.70384
185,C0.30,PGK,2.53918,2.5392099999999997,2.5392099999999997,2.53925,2.54195,2.5962,2.69728,2.70387,2.70384
186,C0.30,GPM,2.5392900000000003,2.5392799999999998,2.5392200000000003,2.5392200000000003,2.53962,2.56838,2.69489,2.70387,2.70384
187,C0.30,ENO,2.5392099999999997,2.5392099999999997,2.5392200000000003,2.5392200000000003,2.5394799999999997,2.56664,2.6947400000000004,2.70387,2.70384
188,C0.30,PYK,2.5392200000000003,2.5392200000000003,2.5392200000000003,2.5392200000000003,2.5392900000000003,2.56334,2.69445,2.70387,2.70384
189,C0.30,G6PDH2r,0.0806265,0.0806263,0.0806241,0.0806017,0.0803792,0.07825189999999999,0.0635626,0.034874699999999995,0.0304589
190,C0.30,PGL,0.0280632,0.0280632,0.0280633,0.028064599999999995,0.028076900000000002,0.0281935,0.028951799999999996,0.030269099999999997,0.030458
191,C0.30,GND,0.027962400000000002,0.027962400000000002,0.027962400000000002,0.0279625,0.027963099999999998,0.0279779,0.0284512,0.0301778,0.030456900000000002
192,C0.30,RPE,0.000521081,0.000520957,0.000519868,0.000516242,0.00051756,0.000521994,0.000649265,0.00041834800000000003,0.000215648
